2026-02-14 00:52:48.375838 | parking/spot1/type | NONE
2026-02-14 00:52:48.376613 | parking/co2 | 229
2026-02-14 00:52:49.564605 | parking/spot1/status | FREE
2026-02-14 00:52:49.570246 | parking/spot1/type | NONE
2026-02-14 00:52:49.571076 | parking/co2 | 168
2026-02-14 00:52:50.573022 | parking/spot1/status | FREE
2026-02-14 00:52:50.594137 | parking/spot1/type | NONE
2026-02-14 00:52:50.594979 | parking/co2 | 0
2026-02-14 00:52:51.578209 | parking/spot1/status | FREE
2026-02-14 00:52:51.614733 | parking/spot1/type | NONE
2026-02-14 00:52:51.615570 | parking/co2 | 0
2026-02-14 00:52:52.598715 | parking/spot1/status | FREE
2026-02-14 00:52:52.606621 | parking/spot1/type | NONE
2026-02-14 00:52:52.607422 | parking/co2 | 179
2026-02-14 00:52:53.655036 | parking/spot1/status | FREE
2026-02-14 00:52:53.669887 | parking/spot1/type | NONE
2026-02-14 00:52:53.670728 | parking/co2 | 239
2026-02-14 00:52:54.713438 | parking/spot1/status | FREE
2026-02-14 00:52:54.719328 | parking/spot1/type | NONE
2026-02-14 00:52:54.720178 | parking/co2 | 0
2026-02-14 00:52:55.769135 | parking/spot1/status | FREE
2026-02-14 00:52:55.779018 | parking/spot1/type | NONE
2026-02-14 00:52:55.779876 | parking/co2 | 213
2026-02-14 00:52:56.842207 | parking/spot1/status | FREE
2026-02-14 00:52:56.848069 | parking/spot1/type | NONE
2026-02-14 00:52:56.848999 | parking/co2 | 0
2026-02-14 00:52:57.888915 | parking/spot1/status | FREE
2026-02-14 00:52:57.896220 | parking/spot1/type | NONE
2026-02-14 00:52:57.897008 | parking/co2 | 149
2026-02-14 00:52:58.940516 | parking/spot1/status | FREE
2026-02-14 00:52:58.947335 | parking/spot1/type | NONE
2026-02-14 00:52:58.948136 | parking/co2 | 178
2026-02-14 00:52:59.994443 | parking/spot1/status | FREE
2026-02-14 00:53:00.117621 | parking/spot1/type | NONE
2026-02-14 00:53:00.118482 | parking/co2 | 126
2026-02-14 00:53:01.055872 | parking/spot1/status | FREE
2026-02-14 00:53:01.077793 | parking/spot1/type | NONE
2026-02-14 00:53:01.078729 | parking/co2 | 0
2026-02-14 00:53:02.117470 | parking/spot1/status | FREE
2026-02-14 00:53:02.127378 | parking/spot1/type | NONE
2026-02-14 00:53:02.128216 | parking/co2 | 0
2026-02-14 00:53:03.169746 | parking/spot1/status | FREE
2026-02-14 00:53:03.183460 | parking/spot1/type | NONE
2026-02-14 00:53:03.184307 | parking/co2 | 64
2026-02-14 00:53:04.227981 | parking/spot1/status | FREE
2026-02-14 00:53:04.271746 | parking/spot1/type | NONE
2026-02-14 00:53:04.272637 | parking/co2 | 219
2026-02-14 00:53:05.289990 | parking/spot1/status | FREE
2026-02-14 00:53:05.301092 | parking/spot1/type | NONE
2026-02-14 00:53:05.301962 | parking/co2 | 0
2026-02-14 00:53:06.341536 | parking/spot1/status | FREE
2026-02-14 00:53:06.360363 | parking/spot1/type | NONE
2026-02-14 00:53:06.361260 | parking/co2 | 80
2026-02-14 00:53:07.400018 | parking/spot1/status | FREE
2026-02-14 00:53:07.419192 | parking/spot1/type | NONE
2026-02-14 00:53:07.420045 | parking/co2 | 239
2026-02-14 00:53:08.455712 | parking/spot1/status | FREE
2026-02-14 00:53:08.464129 | parking/spot1/type | NONE
2026-02-14 00:53:08.464965 | parking/co2 | 0
2026-02-14 00:53:09.512856 | parking/spot1/status | FREE
2026-02-14 00:53:09.530389 | parking/spot1/type | NONE
2026-02-14 00:53:09.531239 | parking/co2 | 0
2026-02-14 00:53:10.569757 | parking/spot1/status | FREE
2026-02-14 00:53:10.579788 | parking/spot1/type | NONE
2026-02-14 00:53:10.580639 | parking/co2 | 0
2026-02-14 00:53:11.626675 | parking/spot1/status | FREE
2026-02-14 00:53:11.635333 | parking/spot1/type | NONE
2026-02-14 00:53:11.636173 | parking/co2 | 0
2026-02-14 00:53:12.683687 | parking/spot1/status | FREE
2026-02-14 00:53:12.691228 | parking/spot1/type | NONE
2026-02-14 00:53:12.692069 | parking/co2 | 0
2026-02-14 00:53:13.740962 | parking/spot1/status | FREE
2026-02-14 00:53:13.750058 | parking/spot1/type | NONE
2026-02-14 00:53:13.750906 | parking/co2 | 16
2026-02-14 00:53:14.797780 | parking/spot1/status | FREE
2026-02-14 00:53:14.806194 | parking/spot1/type | NONE
2026-02-14 00:53:14.807104 | parking/co2 | 175
2026-02-14 00:53:15.854884 | parking/spot1/status | FREE
2026-02-14 00:53:15.860744 | parking/spot1/type | NONE
2026-02-14 00:53:15.861593 | parking/co2 | 0
2026-02-14 00:53:16.919387 | parking/spot1/status | FREE
2026-02-14 00:53:16.920242 | parking/spot1/type | NONE
