[2026-02-13 19:39:36.444415] Spot Status: FREE
[2026-02-13 19:39:38.515515] Spot Status: FREE
[2026-02-13 19:39:40.501308] Spot Status: OCCUPIED
[2026-02-13 19:39:42.530601] Spot Status: OCCUPIED
[2026-02-13 19:39:44.525151] Spot Status: OCCUPIED
[2026-02-13 19:39:46.580498] Spot Status: FREE
[2026-02-13 19:39:48.698976] Spot Status: FREE
[2026-02-13 19:39:50.726597] Spot Status: FREE
[2026-02-13 19:39:52.801658] Spot Status: FREE
[2026-02-13 19:39:54.873456] Spot Status: FREE
[2026-02-13 19:39:56.945794] Spot Status: FREE
[2026-02-13 19:39:59.022122] Spot Status: FREE
[2026-02-13 19:40:01.092914] Spot Status: FREE
[2026-02-13 19:40:03.166120] Spot Status: FREE
[2026-02-13 19:40:05.240076] Spot Status: FREE
[2026-02-13 19:40:07.312038] Spot Status: FREE
[2026-02-13 19:40:09.385142] Spot Status: FREE
[2026-02-13 19:40:11.470338] Spot Status: FREE
[2026-02-13 19:40:13.531265] Spot Status: FREE
[2026-02-13 19:40:15.604780] Spot Status: FREE
[2026-02-13 19:40:17.678382] Spot Status: FREE
[2026-02-13 19:40:19.753852] Spot Status: FREE
[2026-02-13 19:40:21.824216] Spot Status: FREE
[2026-02-13 19:40:23.914740] Spot Status: FREE
[2026-02-13 19:40:25.970438] Spot Status: FREE
[2026-02-13 19:40:28.082720] Spot Status: FREE
[2026-02-13 19:40:30.117484] Spot Status: FREE
[2026-02-13 19:40:32.189533] Spot Status: FREE
[2026-02-13 19:40:34.484962] Spot Status: FREE
[2026-02-13 19:40:36.336817] Spot Status: FREE
[2026-02-13 19:40:38.409521] Spot Status: FREE
2026-02-14 01:07:57.323142 | parking/spot1/status | FREE
2026-02-14 01:07:57.340123 | parking/spot1/type | NONE
2026-02-14 01:07:57.340997 | parking/co2 | 0
2026-02-14 01:07:58.385521 | parking/spot1/status | FREE
2026-02-14 01:07:58.397201 | parking/spot1/type | NONE
2026-02-14 01:07:58.398045 | parking/co2 | 152
2026-02-14 01:07:59.434045 | parking/spot1/status | FREE
2026-02-14 01:07:59.440640 | parking/spot1/type | NONE
2026-02-14 01:07:59.441487 | parking/co2 | 0
2026-02-14 01:08:00.493996 | parking/spot1/status | FREE
2026-02-14 01:08:00.500387 | parking/spot1/type | NONE
2026-02-14 01:08:00.501153 | parking/co2 | 83
2026-02-14 01:08:01.550389 | parking/spot1/status | FREE
2026-02-14 01:08:01.565654 | parking/spot1/type | NONE
2026-02-14 01:08:01.566512 | parking/co2 | 0
2026-02-14 01:08:02.613361 | parking/spot1/status | FREE
2026-02-14 01:08:02.614273 | parking/spot1/type | NONE
2026-02-14 01:08:02.614934 | parking/co2 | 58
2026-02-14 01:08:03.665582 | parking/spot1/status | FREE
2026-02-14 01:08:03.718178 | parking/spot1/type | NONE
2026-02-14 01:08:03.719152 | parking/co2 | 0
2026-02-14 01:08:04.739675 | parking/spot1/status | FREE
2026-02-14 01:08:04.755670 | parking/spot1/type | NONE
2026-02-14 01:08:04.756537 | parking/co2 | 47
2026-02-14 01:08:05.786434 | parking/spot1/status | FREE
2026-02-14 01:08:05.803936 | parking/spot1/type | NONE
2026-02-14 01:08:05.804799 | parking/co2 | 67
2026-02-14 01:08:06.838247 | parking/spot1/status | FREE
2026-02-14 01:08:06.860936 | parking/spot1/type | NONE
